,Country,Total Population,Smartphone Penetration Rate,Smartphone Users
1,China,1.44B,0.64,918.45M
2,India,1.38B,0.32,439.42M
3,United States,331M,0.82,270M
4,Indonesia,273.52M,0.59,160.23M
5,Brazil,212.56M,0.51,109.34M
6,Russia,145.93M,0.69,99.93M
7,Japan,126.48M,0.63,80M
8,Mexico,128.93M,0.54,70.14M
9,Germany,83.78M,0.78,65.24M
10,Vietnam,97.34M,0.63,61.37M
11,United Kingdom,67.89M,0.79,53.58M
12,Bangladesh,164.69M,0.32,53.3M
13,Iran,83.99M,0.63,52.81M
14,Turkey,84.34M,0.62,52.06M
15,France,65.27M,0.78,50.66M
16,Italy,60.46M,0.76,45.92M
17,Philippines,109.58M,0.38,41.31M
18,Pakistan,220.89M,0.18,40.59M
19,South Korea,51.27M,0.77,39.2M
20,Thailand,69.8M,0.54,37.88M
